id,resposta_modelo,resposta_correta,status
pm2021_c_21,A,B,ERRO
pm2021_c_22,A,E,ERRO
pm2021_c_23,A,A,ACERTO
pm2021_c_24,B,B,ACERTO
pm2021_c_25,A,D,ERRO
pm2021_c_26,D,A,ERRO
pm2021_c_27,C,D,ERRO
pm2021_c_28,D,B,ERRO
pm2021_c_29,A,E,ERRO
pm2021_c_30,E,E,ACERTO
pm2021_c_31,MÚLTIPLAS,A,ERRO
pm2021_c_32,MÚLTIPLAS,A,ERRO
pm2021_c_33,B,D,ERRO
pm2021_c_34,MÚLTIPLAS,C,ERRO
pm2021_c_35,B,C,ERRO
pm2021_c_36,MÚLTIPLAS,E,ERRO
pm2021_c_37,E,B,ERRO
pm2021_c_38,A,E,ERRO
pm2021_c_39,MÚLTIPLAS,E,ERRO
pm2021_c_40,D,D,ACERTO
pm2021_c_41,B,E,ERRO
pm2021_c_42,MÚLTIPLAS,D,ERRO
pm2021_c_43,MÚLTIPLAS,B,ERRO
pm2021_c_44,E,D,ERRO
pm2021_c_45,MÚLTIPLAS,C,ERRO
pm2021_c_46,A,A,ACERTO
pm2021_c_47,MÚLTIPLAS,C,ERRO
pm2021_c_48,A,A,ACERTO
pm2021_c_49,MÚLTIPLAS,B,ERRO
pm2021_c_50,A,C,ERRO
pm2021_c_51,MÚLTIPLAS,A,ERRO
pm2021_c_52,A,NULA,ERRO
pm2021_c_53,MÚLTIPLAS,C,ERRO
pm2021_c_54,C,E,ERRO
pp2024_c_21,A,C,ERRO
pp2024_c_22,E,A,ERRO
pp2024_c_23,C,B,ERRO
pp2024_c_24,MÚLTIPLAS,E,ERRO
pp2024_c_25,MÚLTIPLAS,C,ERRO
pp2024_c_26,MÚLTIPLAS,C,ERRO
pp2024_c_27,D,A,ERRO
pp2024_c_28,MÚLTIPLAS,D,ERRO
pp2024_c_29,A,E,ERRO
pp2024_c_30,E,E,ACERTO
pp2024_c_31,MÚLTIPLAS,D,ERRO
pp2024_c_32,A,D,ERRO
pp2024_c_33,MÚLTIPLAS,D,ERRO
pp2024_c_34,MÚLTIPLAS,B,ERRO
pp2024_c_35,E,C,ERRO
pp2024_c_36,MÚLTIPLAS,E,ERRO
pp2024_c_37,MÚLTIPLAS,C,ERRO
pp2024_c_38,MÚLTIPLAS,B,ERRO
pp2024_c_39,MÚLTIPLAS,C,ERRO
pp2024_c_40,D,A,ERRO
pp2024_c_41,MÚLTIPLAS,D,ERRO
pp2024_c_42,MÚLTIPLAS,C,ERRO
pp2024_c_43,A,C,ERRO
pp2024_c_44,E,B,ERRO
pp2024_c_45,A,E,ERRO
pp2024_c_46,A,B,ERRO
pp2024_c_47,A,B,ERRO
pp2024_c_48,E,E,ACERTO
pp2024_c_49,A,A,ACERTO
pp2024_c_50,MÚLTIPLAS,E,ERRO
pp2024_c_51,MÚLTIPLAS,A,ERRO
pp2024_c_52,MÚLTIPLAS,B,ERRO
pm2021_a_29,E,E,ACERTO
pm2021_a_33,MÚLTIPLAS,A,ERRO
pm2021_a_34,A,A,ACERTO
pm2021_a_35,MÚLTIPLAS,C,ERRO
pm2021_a_36,D,D,ACERTO
pm2021_a_38,A,E,ERRO
pm2021_a_39,A,E,ERRO
pm2021_a_43,MÚLTIPLAS,C,ERRO
pm2021_a_46,A,B,ERRO
pm2021_a_49,C,A,ERRO
pm2021_a_50,A,E,ERRO
pm2021_a_54,MÚLTIPLAS,B,ERRO
pp2024_b_21,MÚLTIPLAS,C,ERRO
pp2024_b_22,D,C,ERRO
pp2024_b_23,E,A,ERRO
pp2024_b_24,C,D,ERRO
pp2024_b_25,A,C,ERRO
pp2024_b_26,A,A,ACERTO
pp2024_b_27,MÚLTIPLAS,B,ERRO
pp2024_b_28,MÚLTIPLAS,E,ERRO
pp2024_b_29,A,D,ERRO
pp2024_b_30,MÚLTIPLAS,B,ERRO
pp2024_b_31,A,C,ERRO
pp2024_b_32,A,E,ERRO
pp2024_b_33,MÚLTIPLAS,E,ERRO
pp2024_b_34,C,E,ERRO
pp2024_b_35,MÚLTIPLAS,D,ERRO
pp2024_b_36,MÚLTIPLAS,D,ERRO
pp2024_b_37,MÚLTIPLAS,A,ERRO
pp2024_b_38,E,C,ERRO
pp2024_b_39,C,D,ERRO
pp2024_b_40,MÚLTIPLAS,C,ERRO
pp2024_b_41,C,B,ERRO
pp2024_b_42,D,C,ERRO
pp2024_b_43,E,E,ACERTO
pp2024_b_44,MÚLTIPLAS,B,ERRO
pp2024_b_45,A,B,ERRO
pp2024_b_46,A,C,ERRO
pp2024_b_47,A,E,ERRO
pp2024_b_48,E,B,ERRO
pp2024_b_50,MÚLTIPLAS,A,ERRO
pp2024_b_51,A,B,ERRO
pp2024_b_52,MÚLTIPLAS,A,ERRO
pp2024_a_21,MÚLTIPLAS,C,ERRO
pp2024_a_22,MÚLTIPLAS,C,ERRO
pp2024_a_24,A,D,ERRO
pp2024_a_25,MÚLTIPLAS,C,ERRO
pp2024_a_26,E,A,ERRO
pp2024_a_27,D,B,ERRO
pp2024_a_28,MÚLTIPLAS,E,ERRO
pp2024_a_29,MÚLTIPLAS,D,ERRO
pp2024_a_30,MÚLTIPLAS,B,ERRO
pp2024_a_31,MÚLTIPLAS,C,ERRO
pp2024_a_32,MÚLTIPLAS,E,ERRO
pp2024_a_33,A,E,ERRO
pp2024_a_34,A,E,ERRO
pp2024_a_35,MÚLTIPLAS,D,ERRO
pp2024_a_36,A,D,ERRO
pp2024_a_37,D,A,ERRO
pp2024_a_38,C,C,ACERTO
pp2024_a_39,MÚLTIPLAS,D,ERRO
pp2024_a_40,C,C,ACERTO
pp2024_a_41,E,B,ERRO
pp2024_a_44,C,B,ERRO
pp2024_a_45,MÚLTIPLAS,B,ERRO
pp2024_a_46,E,C,ERRO
pp2024_a_48,E,B,ERRO
pp2024_a_49,A,E,ERRO
pp2024_a_50,MÚLTIPLAS,A,ERRO
pp2024_a_51,MÚLTIPLAS,B,ERRO
pp2024_a_52,MÚLTIPLAS,A,ERRO
pm2021_b_53,A,B,ERRO
pc2025_01_pn_32,E,C,ERRO
